"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.28684883233008e-132,4.45770571469336,0.394,0.071,4.57369766466016e-129,"0","Cstdc5"
7.88009660285528e-131,2.0780405455454,0.472,0.17,1.57601932057106e-127,"0","Clec4n"
7.67016559686302e-129,0.662484965693892,0.481,0.184,1.5340331193726e-125,"0","Olfm4"
1.94629072455492e-111,0.655419801248092,0.529,0.265,3.89258144910984e-108,"0","Gm36723"
1.27316616221922e-110,1.16863922863359,0.745,0.573,2.54633232443844e-107,"0","Neat1"
4.92947014934875e-96,2.37074766986572,0.6,0.396,9.8589402986975e-93,"0","Ifit1"
6.22920298429814e-89,1.22916253352574,0.692,0.511,1.24584059685963e-85,"0","Slfn5"
7.99808882852488e-83,1.19272430264177,0.702,0.537,1.59961776570498e-79,"0","Ptpn12"
7.38168606788104e-82,1.81856009030763,0.665,0.471,1.47633721357621e-78,"0","Marcksl1"
1.41197844195076e-78,1.22511597476797,0.736,0.589,2.82395688390152e-75,"0","Isg15"
4.42938662445389e-78,4.63261283196209,0.467,0.166,8.85877324890778e-75,"0","Asprv1"
1.61210352766432e-77,0.875685605377363,0.728,0.564,3.22420705532864e-74,"0","Cfp"
1.79732959998583e-61,0.412378459380266,0.909,0.848,3.59465919997166e-58,"0","Rap1b"
1.37861464455495e-60,1.42990990796352,0.613,0.42,2.75722928910991e-57,"0","I830077J02Rik"
1.38085611180009e-60,0.383386331897735,0.815,0.656,2.76171222360018e-57,"0","Vav3"
3.70522611404885e-57,1.13739546295475,0.474,0.264,7.41045222809769e-54,"0","Cd274"
1.09243077711041e-51,0.767812842001645,0.74,0.612,2.18486155422081e-48,"0","Rgs18"
7.7165725861637e-49,1.58244663534005,0.541,0.385,1.54331451723274e-45,"0","Gbp2"
3.47266429544849e-47,1.04581263563885,0.581,0.418,6.94532859089698e-44,"0","Isg20"
1.89185058224016e-46,2.0227204927892,0.486,0.331,3.78370116448031e-43,"0","Tmem140"
1.11651292184917e-41,2.44790245358722,0.402,0.164,2.23302584369834e-38,"0","Ctnna3"
7.27577527799072e-37,0.664487530775574,0.634,0.467,1.45515505559814e-33,"0","F5"
3.02425999904689e-33,0.567936568977564,0.754,0.679,6.04851999809378e-30,"0","Stmp1"
1.13566183439395e-32,0.785532932546723,0.661,0.572,2.27132366878791e-29,"0","Atp2c1"
5.27864468401435e-31,4.97756554984918,0.314,0.051,1.05572893680287e-27,"0","Csta3"
2.20928047229482e-28,0.595157754402742,0.541,0.405,4.41856094458964e-25,"0","Arhgap31"
1.74181981238787e-27,0.558753371709697,0.602,0.484,3.48363962477574e-24,"0","Zswim6"
9.81723881817035e-24,0.880459821544706,0.533,0.42,1.96344776363407e-20,"0","Smim3"
1.98302022472946e-23,1.27314026935275,0.446,0.307,3.96604044945892e-20,"0","Slc44a1"
8.07844971984782e-22,3.65944403556483,0.32,0.089,1.61568994396956e-18,"0","Stfa1"
1.37921430288192e-21,1.5937610071864,0.448,0.319,2.75842860576384e-18,"0","Gm26532"
1.56528292287987e-20,0.842480713074757,0.618,0.567,3.13056584575974e-17,"0","Zfand5"
1.81986860733162e-20,0.489507289077964,0.577,0.467,3.63973721466323e-17,"0","Klf7"
2.9326055442418e-20,0.643843115550751,0.528,0.389,5.86521108848361e-17,"0","Tmem40"
3.62011175514181e-19,0.940229803575162,0.606,0.541,7.24022351028362e-16,"0","Treml2"
1.79940530955374e-18,0.99657478945493,0.51,0.405,3.59881061910747e-15,"0","Casp3"
1.67865454584579e-14,0.925392325460961,0.381,0.273,3.35730909169158e-11,"0","Fhod1"
8.96488883830779e-14,0.624597766728315,0.554,0.478,1.79297776766156e-10,"0","Igkv14-111"
1.93455059418076e-13,0.323209625496426,0.36,0.235,3.86910118836151e-10,"0","Bbc3"
2.23862499950213e-13,0.999797129765613,0.457,0.357,4.47724999900426e-10,"0","Smox"
1.94996146266882e-10,1.46924694110001,0.35,0.228,3.89992292533764e-07,"0","Gm43661"
2.10967246301001e-10,0.610811002148551,0.404,0.277,4.21934492602003e-07,"0","Myo1d"
2.12335597305655e-10,0.770954169168062,0.43,0.325,4.24671194611309e-07,"0","Cpeb2"
4.4409860896495e-10,0.768729175436734,0.57,0.538,8.88197217929901e-07,"0","Vmp1"
2.61390170922358e-08,0.802531612462936,0.37,0.271,5.22780341844716e-05,"0","Jun"
4.14460472088795e-06,0.516438753585418,0.362,0.267,0.0082892094417759,"0","Selp"
1.01259126820649e-05,0.770748372146542,0.502,0.438,0.0202518253641299,"0","Igtp"
1.76147958333121e-05,0.805243553806614,0.307,0.297,0.0352295916666243,"0","Ston2"
4.06834185272585e-05,0.386630526572721,0.519,0.441,0.081366837054517,"0","Ifit2"
4.59892552706776e-05,1.79508947158876,0.45,0.402,0.0919785105413553,"0","Wfdc17"
6.4689087392094e-05,2.29479349897962,0.285,0.148,0.129378174784188,"0","Prr5l"
6.78009565271352e-05,0.869534168993536,0.365,0.218,0.13560191305427,"0","Sirpb1a"
6.96364806413969e-05,0.603915173375635,0.444,0.37,0.139272961282794,"0","Ell2"
0.000205690186046223,0.308486192324193,0.413,0.448,0.411380372092445,"0","Pttg1ip"
0.00278653018272688,0.37155173018543,0.304,0.297,1,"0","Nlrx1"
0.00649974066902815,0.34246284865446,0.559,0.551,1,"0","Kif2a"
7.36188744878442e-252,1.19493199375894,0.971,0.614,1.47237748975688e-248,"1","Cd9"
9.49267668557913e-221,1.61429837661549,0.745,0.407,1.89853533711583e-217,"1","Thbs1"
4.96311520323261e-176,1.06855394468793,0.901,0.51,9.92623040646522e-173,"1","C3"
3.02894873992193e-171,0.766363339293082,0.975,0.777,6.05789747984386e-168,"1","Lims1"
